═══════════════════════════════════════════════════════════════
    LOG DE ALERTAS DE SEGURANÇA - Monitor eBPF
    Iniciado em: 2025-12-14 19:39:40
═══════════════════════════════════════════════════════════════

[2025-12-14 19:40:02.693] [PERIGO] [DEADLOCK_POTENCIAL] DEADLOCK POTENCIAL! Threads vão adquirir recursos em ordem diferente - risco de espera circular | Threads: [Thread-A,Thread-B] | Recursos: [R1,R2]
[2025-12-14 19:40:14.953] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12107ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.955] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12109ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.056] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12210ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.056] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12210ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.157] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12311ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.158] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12312ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.258] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12412ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.260] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12414ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.359] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12513ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.361] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12515ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.462] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12616ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.463] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12617ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.562] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12716ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.564] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12718ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.665] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12819ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.665] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12819ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.733] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:15.766] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12920ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.766] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12920ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.867] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13021ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:15.867] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13021ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.968] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13122ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:15.968] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13122ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.070] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13224ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.070] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13224ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.173] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13327ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.173] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13327ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.274] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13428ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.274] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13428ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.375] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13529ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.375] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13529ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.477] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13631ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.477] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13631ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.579] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13733ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.579] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13733ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.681] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13835ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.681] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13835ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.735] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:16.783] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 13937ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.783] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 13937ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.885] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14039ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.885] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14039ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:16.987] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14141ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:16.987] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14141ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.090] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14244ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.090] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14244ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.191] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14345ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.192] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14346ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.293] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14447ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.293] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14447ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.429] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14583ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.429] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14583ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.530] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14684ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.530] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14684ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.631] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14785ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.631] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14785ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.732] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14886ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.732] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14886ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.736] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:17.834] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 14988ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:17.834] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 14988ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.935] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15089ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:17.935] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15089ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.036] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15190ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.036] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15190ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.138] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15292ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.139] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15293ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.240] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15394ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.240] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15394ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.342] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15496ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.342] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15496ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.443] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15597ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.445] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15599ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.545] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15699ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.547] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15701ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.647] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15801ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.648] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15802ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.737] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:18.789] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 15943ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.789] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 15943ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.891] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16045ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:18.891] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16045ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.993] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16147ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:18.994] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16148ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.094] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16248ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.096] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16250ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.197] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16351ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.198] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16352ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.297] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16451ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.298] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16452ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.398] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16552ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.400] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16554ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.500] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16654ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.502] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16656ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.602] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16756ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.604] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16758ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.703] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16857ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.705] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16859ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.738] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:19.804] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 16958ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.806] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 16960ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:19.905] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17059ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:19.908] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17062ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.007] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17161ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.008] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17162ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.152] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17306ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.152] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17306ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.254] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17408ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.254] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17408ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.355] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17509ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.356] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17510ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.457] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17611ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.457] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17611ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.558] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17712ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.558] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17712ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.660] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17814ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.660] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17814ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.739] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:20.763] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 17917ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.763] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 17917ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.864] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18018ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:20.864] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18018ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.965] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18119ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:20.965] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18119ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.066] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18220ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.066] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18220ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.168] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18322ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.168] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18322ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.269] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18423ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.271] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18425ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.370] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18524ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.372] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18526ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.516] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18670ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.517] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18671ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.618] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18772ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.618] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18772ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.721] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18875ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.721] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18875ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.739] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:21.822] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 18976ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.823] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 18977ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:21.923] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 19077ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:21.924] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 19078ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:22.024] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 19178ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:22.026] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 19180ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:22.126] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 19280ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:22.127] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 19281ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:22.227] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 19381ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:22.228] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 19382ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:22.329] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 19483ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:22.329] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 19483ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:22.432] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 19586ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:22.432] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 19586ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
